source_type,heading,src,bucket,format,program,program_hint,publish_date,tier,slug
news,Astropolitics | Bertelsmann Site Dedicated to Geopolitics,contentful,highlights (review 9 news),,RE-TAG (no workstream),Astropolitics,,unknown (no publish_date),astropolitics-bertelsmann-site-dedicated-to-geopolitics
news,Documentary Film | Lithium Rising: The Race for Critical Minerals,contentful,highlights (review 9 news),,RE-TAG (no workstream),Critical Minerals,,unknown (no publish_date),documentary-film-lithium-rising-the-race-for-critical-minerals
news,Documentary Film | The Open Veins of Potosi,contentful,highlights (review 9 news),,RE-TAG (no workstream),BFNA Documentaries,,unknown (no publish_date),documentary-film-the-open-veins-of-potosi
news, Indo-Pacific Nexus | Bertelsmann Site Dedicated to the Dynamic Region,contentful,highlights (review 9 news),,RE-TAG (no workstream),Indo-Pacific Nexus,,unknown (no publish_date),indo-pacific-nexus-bertelsmann-site-dedicated-to-the-dynamic-region
news,Infographic | Space Mining ,contentful,highlights (review 9 news),,RE-TAG (no workstream),,,unknown (no publish_date),infographic-space-mining
news,Latest Issue | Transponder: The Future,directus,highlights (review 9 news),,RE-TAG (no workstream),Transponder Magazine,,unknown (no publish_date),latest-issue-transponder-the-future
news,New Documentary| Motown South: Organized Labor in the Battery Belt,directus,highlights (review 9 news),,RE-TAG (no workstream),BFNA Documentaries,,unknown (no publish_date),new-documentary-motown-south-organized-labor-in-the-battery-belt
news,New Documentary| Nickel Land: Indonesia's Critical Mineral,directus,highlights (review 9 news),,RE-TAG (no workstream),BFNA Documentaries,,unknown (no publish_date),new-documentary-nickel-land-indonesias-critical-mineral
news,New Infographic | Strength in Numbers,directus,highlights (review 9 news),,RE-TAG (no workstream),,,unknown (no publish_date),new-infographic-strength-in-numbers
news,NEW PODCAST: The Transponder - Astropolitics,directus,highlights (review 9 news),,RE-TAG (no workstream),Astropolitics,,unknown (no publish_date),new-podcast-the-transponder-astropolitics
news,New Publication | Lithium Rising: The Race for Critical Minerals,directus,highlights (review 9 news),,RE-TAG (no workstream),Critical Minerals,,unknown (no publish_date),new-publication-lithium-rising-the-race-for-critical-minerals
news,New Site | Indo-Pacific Nexus,directus,highlights (review 9 news),,RE-TAG (no workstream),Indo-Pacific Nexus,,unknown (no publish_date),new-site-indo-pacific-nexus
news,Podcast | The Transponder,contentful,highlights (review 9 news),,RE-TAG (no workstream),Transponder Magazine,,unknown (no publish_date),podcast-the-transponder
news,Publication | Lithium Rising: The Race for Critical Minerals,contentful,highlights (review 9 news),,RE-TAG (no workstream),Critical Minerals,,unknown (no publish_date),publication-lithium-rising-the-race-for-critical-minerals
news,Transatlantic Barometer  | New Indicator: Foreign Aid,contentful,highlights (review 9 news),,RE-TAG (no workstream),Transatlantic Barometer,,unknown (no publish_date),transatlantic-barometer-new-indicator-foreign-aid
news,Transatlantic Barometer  | New Indicator: Start Ups,directus,highlights (review 9 news),,RE-TAG (no workstream),Transatlantic Barometer,,unknown (no publish_date),transatlantic-barometer-new-indicator-start-ups
news,Welcome Bertelsmann Foundation Fellowship Class of 2026,contentful,highlights (review 9 news),,RE-TAG (no workstream),Fellowship (BFF),,unknown (no publish_date),welcome-bertelsmann-foundation-fellowship-class-of-2026
infographic,12 Days of Christmas in Europe ,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2014-12-17,archive (3y+),12-days-of-christmas-in-europe
infographic,2020 Senate Races Overshadowed by Trump,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2019-09-19,archive (3y+),2020-senate-races-overshadowed-by-trump
infographic,A New Era of German-Turkish Cooperation?,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2015-10-29,archive (3y+),a-new-era-of-german-turkish-cooperation
infographic,A Shred of Doubt Brexit’s Future,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2019-01-30,archive (3y+),a-shred-of-doubt-brexits-future
infographic,American Democracy on Unstable Ground,directus,insights,infographic,Democracy,,2021-05-25,archive (3y+),american-democracy-on-unstable-ground
infographic,Austrian Elections,directus,insights,infographic,Democracy,Election Analysis,2016-05-19,archive (3y+),austrian-elections
infographic,Breaking Barriers,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2017-07-21,archive (3y+),breaking-barriers
infographic,Breaking Down Barriers,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2018-07-30,archive (3y+),breaking-down-barriers
infographic,Building Resilient Democracy in the 21st Century,directus,insights,infographic,Democracy,,2019-07-24,archive (3y+),building-resilient-democracy-in-the-21st-century
infographic,Checkmate,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2016-11-17,archive (3y+),checkmate
infographic,China’s Belt and Road Initiative,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2019-06-27,archive (3y+),chinas-belt-and-road-initiative
infographic,Crisis and Consequences,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2021-04-23,archive (3y+),crisis-and-consequences
infographic,Democracy’s Canary in a Coal Mine,directus,insights,infographic,Democracy,,2019-05-07,archive (3y+),democracys-canary-in-a-coal-mine
infographic,E-Commerce vs. Digital Trade,directus,insights,infographic,PENDING-Q3 (Digital World retired),,2019-12-20,archive (3y+),e-commerce-vs-digital-trade
infographic,EU Enlargement,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2019-11-27,archive (3y+),eu-enlargement
infographic,Europe's Migration Muddle,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2015-08-22,archive (3y+),europes-migration-muddle
infographic,Fresco or Fiasco,directus,insights,infographic,Democracy,,2018-02-27,archive (3y+),fresco-or-fiasco
infographic,Germany's Newpolitik,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2016-10-12,archive (3y+),germanys-newpolitik
infographic,Germany’s Political Shake-Up,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2020-02-27,archive (3y+),germanys-political-shake-up
infographic,Greece Under a Microscope,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2015-01-20,archive (3y+),greece-under-a-microscope
infographic,Greek Debt Crisis: Sisyphus' Latest Challenge,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2015-07-23,archive (3y+),greek-debt-crisis-sisyphus-latest-challenge
infographic,Greek Debt Crisis: Will the Last Domino Stand?,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2015-06-24,archive (3y+),greek-debt-crisis-will-the-last-domino-stand
infographic,Health Care on Life Support,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2017-03-23,archive (3y+),health-care-on-life-support
infographic,How Important is NATO?,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2023-02-02,archive (3y+),how-important-is-nato
infographic,"Infographic: AI Research and Development in the U.S., EU and China",directus,insights,infographic,PENDING-Q3 (Digital World retired),,2023-09-12,active,infographic-ai-research-and-development-in-the-u-s-eu-and-china
infographic,Infographic: Cybersecurity ,directus,insights,infographic,PENDING-Q3 (Digital World retired),,2023-11-14,active,infographic-cybersecurity
infographic,Major European Migration Flows from the 1990s to Present,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2015-09-24,archive (3y+),major-european-migration-flows-from-the-1990s-to-present
infographic,NATO at 70 Military Spending,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2019-04-30,archive (3y+),nato-at-70-military-spending
infographic,Pandemic Politics in Germany,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2020-06-11,archive (3y+),pandemic-politics-in-germany
infographic,Profiting in the Age of COVID-19,directus,insights,infographic,PENDING-Q3 (Digital World retired),,2020-03-26,archive (3y+),profiting-in-the-age-of-covid-19
infographic,Referendum Retrospective,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2016-06-20,archive (3y+),referendum-retrospective
infographic,Russia's Economy,directus,insights,infographic,Transatlantic Relations & Global Challenges,,2015-04-16,archive (3y+),russias-economy
